start,duration
3907641,9812
7907557,8574
8104887,10273
11907590,6943
11954333,10364
15907602,5846
19907861,4518
23907590,19770
27907575,14325
31907592,5359
35907564,4490
39907590,4955
43907566,62361
47907587,4728
49911079,3189
51907608,4262
55907579,5090
59907583,10077
63907604,4303
67907585,3818
71907601,17192
75907578,5187
79907750,4101
83824524,4608
83907590,8532
87907592,5890
91907583,7159
95907588,4061
99907573,3597
103907594,3116
107907566,3339
111907575,6373
115907569,3638
116309025,3234
119907593,6198
123907562,3329
127907581,3004
131907564,5569
135907581,3028
139907570,3279
143907584,3672
147907590,3161
151907585,5764
155907579,3764
159907572,3385
163907558,3031
167907576,2962
171907594,4028
175907570,3203
179907582,5185
183907565,5083
187907581,6190
191907585,3319
195907576,3265
199907582,3809
203907564,4221
207907584,3550
211907575,3501
215907591,3314
219907582,3789
223907573,3140
227907563,3218
231907572,3114
235907583,3037
239907577,4920
243907569,3733
247907573,3182
251907584,3609
255907569,7226
259907576,7699
263907593,4006
267907582,5130
271907599,5485
275907597,4586
279907601,4711
283907593,5471
287907587,4399
291907606,6207
295907590,3381
297956573,5306
299907555,5419
303907586,3112
307907565,3247
311907576,3296
315907585,3036
319907565,3124
323907562,3508
327907597,16638
331907577,3324
335907585,18861
339907584,3473
343907585,4401
347907572,3583
351907568,3092
355907561,3109
359907583,4650
363907574,3343
367907561,3615
371907595,4533
375907587,3474
379907564,4760
383907607,3368
387907587,3015
391907586,3234
395907577,4446
399907571,3169
403907582,2966
407907562,3371
411907574,3093
415907595,3066
419907587,4214
423907584,3151
427907577,3070
431907568,3015
435907568,3264
439907583,3979
443907592,4008
447907576,3341
451907562,4555
455907554,3138
459907593,6848
463907619,5300
467907587,4787
471907588,4545
475907596,4651
479907567,5796
483907576,3447
487907593,4150
491907572,4129
495907595,3205
499907591,4744
503907589,3661
507907571,6013
511907580,3933
515907569,3371
519907588,3023
523907582,3843
527907562,3553
531907563,3071
535907572,3212
539907570,6126
543907589,3511
547907567,3005
551907560,7938
555907568,6169
559907584,28062
563907565,4598
567907577,3765
571907561,4232
575907589,3417
579907580,3580
583907569,3367
587907570,3683
591907564,3251
595907569,3486
599907567,5528
603907577,5156
607907588,3834
611907592,3300
615907575,3663
619907569,4263
623907581,3231
627907575,3934
631907577,3418
635907583,3176
639907582,3284
643907583,4765
647907567,3451
651907582,7760
655907597,6551
659907867,7902
663907590,4056
667907577,4129
671907608,5186
675907589,3954
679907586,4167
683907601,3933
687907582,4292
691907608,7094
695907594,4868
699907595,3547
703907571,3012
707907573,5723
711907576,3901
715907581,3345
719907563,4899
723907584,3416
727907582,3646
731907562,14738
735907578,3832
739907556,3071
743907577,6720
747907577,8686
751907586,20867
755907603,4295
759907597,4213
763907569,4769
767907601,4088
771907580,4925
775813608,9155
775907585,4076
779907595,6660
783907592,11674
787907590,4391
791907580,4445
795907591,3567
799907592,2937
803907566,3548
807907561,3382
811907589,4432
815907565,11422
819907586,3334
823907575,3642
827907585,3159
831907585,3471
835907589,6273
839907564,6761
843907616,4132
847907566,3760
851907568,4447
855907582,3278
859907574,6256
863907588,15245
867907596,3799
871907573,4139
875907573,4679
879907593,4565
883907594,4173
887907569,3956
891907581,3243
895907584,3069
899907588,4697
903907573,3301
907907579,3103
911907569,4435
915907576,4044
919907591,4129
923907574,3094
927907581,2882
931907569,2980
935907580,4133
939907581,2998
943907585,3317
947907579,4229
951907577,3176
955907585,4499
959907570,3853
963907563,3145
967907577,2994
971907556,2912
975907597,3003
979907563,7086
983907597,11151
987907588,7875
991907572,6294
995907591,5684
999907589,5173
1003907604,7189
1007907601,8699
1011907582,6227
1015907597,10415
1019907582,13014
1023907561,4865
1027907598,4621
1031907581,5440
1035907603,5239
1039907584,4476
1043907585,4730
1047907602,3587
1051907583,3055
1055907579,15933
1059907590,6611
1063907604,4474
1067907585,3733
1071907579,4228
1075907594,4260
1079907598,6162
1083907582,5041
1085185985,9170
1087907565,8317
1091907602,6776
1095907590,8560
1099907620,6171
1103907579,7625
1107907593,7754
1111907614,7048
1115907592,8023
1119907610,9614
1123907563,10793
1127907589,9827
1131907591,6983
1135907606,5542
